0,0,volt,time,,,,,,
1.622678397,332,1.622678397,2.392261128,,,,,,
1.612903226,330,1.612903226,2.396970303,,,,,,
1.65200391,338,1.65200391,2.401679478,,,,,,
1.637341153,335,1.637341153,2.406388653,,,,,,
1.632453568,334,1.632453568,2.411097828,,,,,,
1.637341153,335,1.637341153,2.415807003,,,,,,
1.632453568,334,1.632453568,2.420516178,,,,,,
1.637341153,335,1.637341153,2.425225353,,,,,,
1.603128055,328,1.603128055,2.429934528,,,,,,
1.588465298,325,1.588465298,2.434643703,,,,,,
1.622678397,332,1.622678397,2.439352878,,,,,,
1.647116325,337,1.647116325,2.444062053,,,,,,
1.647116325,337,1.647116325,2.448771228,,,,,,
1.637341153,335,1.637341153,2.453480403,,,,,,
1.647116325,337,1.647116325,2.458189578,,,,,,
1.676441838,343,1.676441838,2.462898753,,,,,,
1.661779081,340,1.661779081,2.467607928,,,,,,
1.661779081,340,1.661779081,2.472317103,,,,,,
1.715542522,351,1.715542522,2.477026278,,,,,,
1.705767351,349,1.705767351,2.481735453,,,,,,
1.661779081,340,1.661779081,2.486444628,,,,,,
1.691104594,346,1.691104594,2.491153803,,,,,,
1.715542522,351,1.715542522,2.495862978,,,,,,
1.705767351,349,1.705767351,2.500572153,,,,,,
1.720430108,352,1.720430108,2.505281328,,,,,,
1.725317693,353,1.725317693,2.509990503,,,,,,
1.730205279,354,1.730205279,2.514699678,,,,,,
1.720430108,352,1.720430108,2.519408853,,,,,,
1.700879765,348,1.700879765,2.524118028,,,,,,
1.720430108,352,1.720430108,2.528827203,,,,,,
1.744868035,357,1.744868035,2.533536378,,,,,,
1.69599218,347,1.69599218,2.538245553,,,,,,
1.676441838,343,1.676441838,2.542954728,,,,,,
1.700879765,348,1.700879765,2.547663903,,,,,,
1.720430108,352,1.720430108,2.552373078,,,,,,
1.691104594,346,1.691104594,2.557082253,,,,,,
1.656891496,339,1.656891496,2.561791428,,,,,,
1.588465298,325,1.588465298,2.566500603,,,,,,
1.56402737,320,1.56402737,2.571209778,,,,,,
1.568914956,321,1.568914956,2.575918953,,,,,,
1.603128055,328,1.603128055,2.580628128,,,,,,
1.637341153,335,1.637341153,2.585337303,,,,,,
1.65200391,338,1.65200391,2.590046478,,,,,,
1.666666667,341,1.666666667,2.594755653,,,,,,
1.681329423,344,1.681329423,2.599464828,,,,,,
1.700879765,348,1.700879765,2.604174003,,,,,,
1.700879765,348,1.700879765,2.608883178,,,,,,
1.661779081,340,1.661779081,2.613592353,,,,,,
1.656891496,339,1.656891496,2.618301528,,,,,,
1.656891496,339,1.656891496,2.623010703,,,,,,
1.676441838,343,1.676441838,2.627719878,,,,,,
1.691104594,346,1.691104594,2.632429053,,,,,,
1.715542522,351,1.715542522,2.637138228,,,,,,
1.764418377,361,1.764418377,2.641847403,,,,,,
1.9257087,394,1.9257087,2.646556578,,,,,,
2.253176931,461,2.253176931,2.651265753,,,,,,
2.619745846,536,2.619745846,2.655974928,,,,,,
2.917888563,597,2.917888563,2.660684103,,,,,,
2.976539589,609,2.976539589,2.665393278,,,,,,
2.75659824,564,2.75659824,2.670102453,,,,,,
2.424242424,496,2.424242424,2.674811628,,,,,,
1.959921799,401,1.959921799,2.679520803,,,,,,
1.65200391,338,1.65200391,2.684229978,,,,,,
1.588465298,325,1.588465298,2.688939153,,,,,,
1.661779081,340,1.661779081,2.693648328,,,,,,
1.735092864,355,1.735092864,2.698357503,,,,,,
1.764418377,361,1.764418377,2.703066678,,,,,,
1.744868035,357,1.744868035,2.707775853,,,,,,
1.749755621,358,1.749755621,2.712485028,,,,,,
1.774193548,363,1.774193548,2.717194203,,,,,,
1.808406647,370,1.808406647,2.721903378,,,,,,
1.725317693,353,1.725317693,2.726612553,,,,,,
1.632453568,334,1.632453568,2.731321728,,,,,,
1.612903226,330,1.612903226,2.736030903,,,,,,
1.632453568,334,1.632453568,2.740740078,,,,,,
1.661779081,340,1.661779081,2.745449253,,,,,,
1.730205279,354,1.730205279,2.750158428,,,,,,
1.749755621,358,1.749755621,2.754867603,,,,,,
1.803519062,369,1.803519062,2.759576778,,,,,,
1.798631476,368,1.798631476,2.764285953,,,,,,
1.783968719,365,1.783968719,2.768995128,,,,,,
1.813294233,371,1.813294233,2.773704303,,,,,,
1.788856305,366,1.788856305,2.778413478,,,,,,
1.818181818,372,1.818181818,2.783122653,,,,,,
1.867057674,382,1.867057674,2.787831828,,,,,,
1.823069404,373,1.823069404,2.792541003,,,,,,
1.764418377,361,1.764418377,2.797250178,,,,,,
1.818181818,372,1.818181818,2.801959353,,,,,,
1.9257087,394,1.9257087,2.806668528,,,,,,
1.920821114,393,1.920821114,2.811377703,,,,,,
1.896383187,388,1.896383187,2.816086878,,,,,,
1.940371457,397,1.940371457,2.820796053,,,,,,
1.959921799,401,1.959921799,2.825505228,,,,,,
2.003910068,410,2.003910068,2.830214403,,,,,,
2.121212121,434,2.121212121,2.834923578,,,,,,
2.130987292,436,2.130987292,2.839632753,,,,,,
2.018572825,413,2.018572825,2.844341928,,,,,,
1.989247312,407,1.989247312,2.849051103,,,,,,
2.062561095,422,2.062561095,2.853760278,,,,,,
2.170087977,444,2.170087977,2.858469453,,,,,,
2.160312805,442,2.160312805,2.863178628,,,,,,
2.179863148,446,2.179863148,2.867887803,,,,,,
2.194525904,449,2.194525904,2.872596978,,,,,,
2.086999022,427,2.086999022,2.877306153,,,,,,
1.945259042,398,1.945259042,2.882015328,,,,,,
1.857282502,380,1.857282502,2.886724503,,,,,,
1.803519062,369,1.803519062,2.891433678,,,,,,
1.813294233,371,1.813294233,2.896142853,,,,,,
1.730205279,354,1.730205279,2.900852028,,,,,,
1.642228739,336,1.642228739,2.905561203,,,,,,
1.60801564,329,1.60801564,2.910270378,,,,,,
1.568914956,321,1.568914956,2.914979553,,,,,,
1.603128055,328,1.603128055,2.919688728,,,,,,
1.60801564,329,1.60801564,2.924397903,,,,,,
1.520039101,311,1.520039101,2.929107078,,,,,,
1.427174976,292,1.427174976,2.933816253,,,,,,
1.436950147,294,1.436950147,2.938525428,,,,,,
1.56402737,320,1.56402737,2.943234603,,,,,,
1.598240469,327,1.598240469,2.947943778,,,,,,
1.60801564,329,1.60801564,2.952652953,,,,,,
1.56402737,320,1.56402737,2.957362128,,,,,,
1.539589443,315,1.539589443,2.962071303,,,,,,
1.539589443,315,1.539589443,2.966780478,,,,,,
1.529814272,313,1.529814272,2.971489653,,,,,,
